Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
Clayville Generating Station (Clayville Unit #1),-66155,Gas Turbine,73,3273,6.03,10785.52,80515,102793.22,84730.09,268038.32,Gas,56.00617782
Cleveland,-2501,Internal Combustion,10.8,365,0.39,10290.41,87561.35,45928.09,132711.84,266201.27,Oil,365.7244932
Cleveland CT,-16340,Gas Turbine,738,1022786,15.82,10481.21,1435476.06,44276738.47,2260016.51,47972231.04,Gas,44.69382112
Cleveland Works,-81863,Steam Turbine,68,192940,32.39,5023.78,4131101.61,330651.97,3166925.07,7628678.66,Other Nonrenewable,23.12508334
Clifton Solar,-18942,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Clifty Creek,-78326,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51065,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51063,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51061,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51059,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51057,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51055,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51053,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51051,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51049,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51047,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51045,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clifty Creek,-51043,Steam Turbine,1198.2,5225154,49.78,10769,21030568,140799840.9,45982941,207813349.9,Coal,30.97141422
Clinch River,-2510,Steam Turbine,470,461977,9.3,10748.91,5726545,20172344.07,12839514,38738403.07,Coal,56.06099237
"Clinton, MI",-2514,Internal Combustion,3,0,0,11075,0,988.54,28727.22,29715.76,Gas,#DIV/0!
Clover,-2517,Steam Turbine,881,5484916,71.07,10001.53,16015950,161813178.3,31500794,209329922.3,Coal,32.42148618
Clover,-2516,Steam Turbine,881,5484916,71.07,10001.53,16015950,161813178.3,31500794,209329922.3,Coal,32.42148618
Clyde Solar Energy Center,-97325,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Coast Guard Yard Landfill Project,-19713,Internal Combustion,4.22,NA,NA,11075,NA,NA,178155.66,NA,Biomass,#VALUE!
Coleman Falls,-12072,Hydraulic Turbine,1.5,5723,43.55,NA,87092.25,0,131991.69,219083.94,Water,15.2179364
College of New Jersey,-65339,Gas Turbine,5.6,35217,71.79,11373.6,49426.92,1166346.82,74948.62,1290722.36,Gas,34.52235398
Collinwood,-2577,Gas Turbine,18,445,0.28,30420.22,70424.94,43372.12,188911.4,302708.45,Gas,255.7237303
Collinwood Biomass Facility,-41986,Internal Combustion,1,2923,33.37,11914.13,32026.89,115238.76,11241.41,158507.06,Biomass,50.38167978
Collinwood Biomass Facility,-41985,Internal Combustion,1,2923,33.37,11914.13,32026.89,115238.76,11241.41,158507.06,Biomass,50.38167978
Colonial Eagle I - Elizabeth City Solar,-79776,Solar,20,43366,24.75,NA,0,0,528706.45,528706.45,Solar,0
Colonial Eagle Solar - Whitakers,-93713,Solar,12,33,0.37,NA,0,0,26942.3,26942.3,Solar,0
Columbus Oil Unit 5,-14347,Internal Combustion,1.8,5,0.03,12000,2896.43,696.94,19195.03,22788.39,Oil,718.674
Columbus Oil Unit 6,-14348,Internal Combustion,1.1,0,0,42000,0,2021.11,7864.65,9885.77,Oil,#DIV/0!
Columbus Oil Unit 7,-14349,Internal Combustion,1.8,1,0.01,36000,579.29,418.16,19195.03,20192.47,Oil,997.45
Colver Power Project,-96623,Steam Turbine,110,829279,86.06,11090.37,2005636.57,17569042.4,2501364.62,22076043.59,Coal,23.60445516
Colver Power Project,-74194,Steam Turbine,110,829279,86.06,11090.37,2005636.57,17569042.4,2501364.62,22076043.59,Coal,23.60445516
Colver Power Project,-74193,Steam Turbine,110,829279,86.06,11090.37,2005636.57,17569042.4,2501364.62,22076043.59,Coal,23.60445516
Colver Power Project,-63142,Steam Turbine,110,829279,86.06,11090.37,2005636.57,17569042.4,2501364.62,22076043.59,Coal,23.60445516
"Commonwealth Chesapeake Company, LLC",-13871,Gas Turbine,342.8,134058,4.46,9861.67,457349.79,15894602.27,1091216.28,17443168.33,Oil,121.9766971
Community Food Bank Solar Project,-41580,Solar,1.02,NA,NA,NA,NA,NA,26964.03,NA,Solar,#VALUE!
Conemaugh,-108217,Steam Turbine,1700,11146976,74.85,9766.01,24349713.04,305865058.5,48768157.04,378982928.6,Coal,29.62370885
Conemaugh,-107129,Steam Turbine,1700,11146976,74.85,9766.01,24349713.04,305865058.5,48768157.04,378982928.6,Coal,29.62370885
Conemaugh,-107128,Steam Turbine,1700,11146976,74.85,9766.01,24349713.04,305865058.5,48768157.04,378982928.6,Coal,29.62370885
Conemaugh,-92801,Steam Turbine,1700,11146976,74.85,9766.01,24349713.04,305865058.5,48768157.04,378982928.6,Coal,29.62370885
Conemaugh,-2617,Steam Turbine,1700,11146976,74.85,9766.01,24349713.04,305865058.5,48768157.04,378982928.6,Coal,29.62370885
Conemaugh,-2615,Steam Turbine,1700,11146976,74.85,9766.01,24349713.04,305865058.5,48768157.04,378982928.6,Coal,29.62370885
Conemaugh Hydroelectric,-9687,Hydraulic Turbine,15,44141,33.59,NA,585235.26,0,193584.1,778819.36,Water,13.25831449
Conemaugh Hydroelectric,-2624,Hydraulic Turbine,15,44141,33.59,NA,585235.26,0,193584.1,778819.36,Water,13.25831449
Conemaugh IC,-109480,Internal Combustion,11.2,47,0.05,10234.04,27226.47,5784.57,118497.27,151508.31,Oil,702.3625532
Conemaugh IC,-108219,Internal Combustion,11.2,47,0.05,10234.04,27226.47,5784.57,118497.27,151508.31,Oil,702.3625532
Conemaugh IC,-107137,Internal Combustion,11.2,47,0.05,10234.04,27226.47,5784.57,118497.27,151508.31,Oil,702.3625532
Conemaugh IC,-107136,Internal Combustion,11.2,47,0.05,10234.04,27226.47,5784.57,118497.27,151508.31,Oil,702.3625532
Conemaugh IC,-2629,Internal Combustion,11.2,47,0.05,10234.04,27226.47,5784.57,118497.27,151508.31,Oil,702.3625532
Conemaugh IC,-2627,Internal Combustion,11.2,47,0.05,10234.04,27226.47,5784.57,118497.27,151508.31,Oil,702.3625532
Conesville,-99622,Steam Turbine,1590,5168266,37.11,10746.56,29632914,186820494,38081049,254534457,Coal,41.88124373
Conesville,-99620,Steam Turbine,1590,5168266,37.11,10746.56,29632914,186820494,38081049,254534457,Coal,41.88124373
Conesville,-99616,Steam Turbine,1590,5168266,37.11,10746.56,29632914,186820494,38081049,254534457,Coal,41.88124373
Conetoe II Solar Farm,-91424,Solar,80,1126,1.89,NA,0,0,179615.34,179615.34,Solar,0
Conetoe Solar Farm (Battleboro),-104350,Solar,5,NA,NA,NA,NA,NA,99585.12,NA,Solar,#VALUE!
Conowingo Hydroelectric Generating Station,-2644,Hydraulic Turbine,572,1597488,31.88,NA,2911535.3,0,4712818.97,7624354.27,Water,1.822570999
Conshohocken -Solar,-11842,Solar,0.06,NA,NA,NA,NA,NA,1586.12,NA,Solar,#VALUE!
Constantine,-2645,Hydraulic Turbine,1.2,4605,43.81,NA,123907,0,149024,272931,Water,26.90705755
Constellation New Energy Solar Farm,-64896,Solar,3.9,6376,18.66,NA,0,0,103097.76,103097.76,Solar,0
Cooper Farm's Van Wert Facility,-39173,Wind Turbine,4.5,13977,35.46,NA,87384.17,0,169374.25,256758.41,Wind,6.251997567
Cordova Energy Center,-47494,Combined Cycle,601.2,11125,0.21,9024.12,89413.06,296164.38,6095072.91,6480650.35,Gas,34.65864629
Cordova Energy Center,-2667,Combined Cycle,601.2,11125,0.21,9024.12,89413.06,296164.38,6095072.91,6480650.35,Gas,34.65864629
Corn Products (IL),-2669,Steam Turbine,42.4,289582,77.97,5945.16,1130268.27,3471392.3,556420.97,5158081.54,Coal,15.89069959
Corn Products (IL) CT,-2670,Gas Turbine,9.6,748,0.89,11262.03,32673.53,24848.5,87148.51,144670.54,Gas,76.90110963
Countryside Genco,-66315,Gas Turbine,8,37189,53.07,17955.98,52194.61,2430651.86,33536.95,2516383.42,Biomass,66.7629264
Countryside Genco,-66314,Gas Turbine,8,37189,53.07,17955.98,52194.61,2430651.86,33536.95,2516383.42,Biomass,66.7629264
County College of Morris,-87325,Solar,2.9,3754,14.78,NA,0,0,76662.44,76662.44,Solar,0
Covanta Plymouth (Montenay Montgomery),-25938,Steam Turbine,28,210085,85.65,18215.21,2097104.38,26310408.77,1186973.06,29594486.2,Biomass,135.2191406
Cove Point LNG Terminal (Gas Plant),-87060,Gas Turbine,91.6,162456,20.25,19928,228006.35,9427074.25,392069.26,10047149.85,Gas,59.43197296
Covert,-101388,Combined Cycle,1233,3495568,32.36,6895.96,5300411.56,71103998.85,11079009.15,87483419.57,Gas,21.8575094
Covington Facility,-16625,Steam Turbine,157.9,1010362,73.05,5100.18,7353991.85,15241206.29,3673094.18,26268292.32,Biomass,22.36346789
Cox Waste-to-Energy,-2717,Steam Turbine,3.9,12362,36.18,6509,857920.33,503563.36,810480.34,2171964.03,Biomass,110.134581
Cranbury Solar I Project,-88661,Solar,5,7147,16.32,NA,0,0,132176.61,132176.61,Solar,0
Cranbury Solar II Project,-88662,Solar,1.5,NA,NA,NA,NA,NA,39652.98,NA,Solar,#VALUE!
Crayola Solar Park,-99237,Solar,2.8,3106,12.66,NA,0,0,74018.9,74018.9,Solar,0
Crayola Solar Park,-55024,Solar,2.8,3106,12.66,NA,0,0,74018.9,74018.9,Solar,0
Crescent Ridge Wind Project,-98908,Wind Turbine,53,155945,33.59,NA,460071.96,0,1195819.38,1655891.35,Wind,2.950219372
Crescent Ridge Wind Project,-93284,Wind Turbine,53,155945,33.59,NA,460071.96,0,1195819.38,1655891.35,Wind,2.950219372
Crescent Ridge Wind Project,-48456,Wind Turbine,53,155945,33.59,NA,460071.96,0,1195819.38,1655891.35,Wind,2.950219372
Crescent Ridge Wind Project,-48454,Wind Turbine,53,155945,33.59,NA,460071.96,0,1195819.38,1655891.35,Wind,2.950219372
Crescent Ridge Wind Project,-48453,Wind Turbine,53,155945,33.59,NA,460071.96,0,1195819.38,1655891.35,Wind,2.950219372
Creswell Alligood Solar Project,-88023,Solar,14,16909,15.07,NA,0,0,338661.83,338661.83,Solar,0
Crete Energy Park,-101369,Gas Turbine,348.8,24873,0.81,13113.78,404525.15,962138.97,1103424.66,2470088.78,Gas,54.9456889
Crisfield,-21085,Internal Combustion,10.4,1543,1.69,10285.16,82756.03,195072.4,106645.5,384473.93,Oil,180.0573104
Criterion Wind Project,-36213,Wind Turbine,70,170193,27.75,NA,419104.49,0,1320511.73,1739616.21,Wind,2.462524839
Croda Atlas Point CHP,-98860,Internal Combustion,2.2,15892,82.46,5091.05,211933.61,290435.6,27719.68,530088.89,Biomass,31.61145293
Croydon,-2756,Gas Turbine,512,36266,0.81,12380.94,618955.78,5405017.82,1686460.39,7710433.99,Oil,166.1052666
Crystal Lake,-15138,Wind Turbine,150,512081,38.97,NA,833369.06,0,2712516.55,3545885.6,Wind,1.627416483
CrystEna Energy Battery Storage System,-95031,Other,1,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
CSL Behring LLC,-1667,Gas Turbine,5.3,32057,69.05,4563.34,47835.78,431506.7,72430.56,551773.04,Gas,14.95281779
Cumberland County Landfill,-99227,Internal Combustion,4.8,24896,59.21,10995.38,342759.05,1092564.2,58766.47,1494089.73,Biomass,57.6527655
Cumberland CT,-21086,Gas Turbine,206.1,106103,5.88,10237.59,306720.59,3874029.32,704742.35,4885492.27,Gas,39.40274931
Cushaw,-2785,Hydraulic Turbine,2,8900,50.8,NA,91690,0,153056,244746,Water,10.30224719
Dam 4,-87157,Hydraulic Turbine,1.9,9056,54.41,NA,138077.71,0,205740.69,343818.4,Water,15.24709695
Dam 4,-87156,Hydraulic Turbine,1.9,9056,54.41,NA,138077.71,0,205740.69,343818.4,Water,15.24709695
Dam 5,-87162,Hydraulic Turbine,1,6424,73.33,NA,11708.2,0,108284.57,119992.77,Water,1.822571606
Dam 5,-87161,Hydraulic Turbine,1,6424,73.33,NA,11708.2,0,108284.57,119992.77,Water,1.822571606
Darby,-69131,Gas Turbine,507,58085,1.31,12169.94,593798.86,2000963.37,1588975.95,4183738.18,Gas,44.67181252
Darbytown,-2835,Gas Turbine,387,137436,4.05,12339.02,213951,6074054.12,1028413,7316418.12,Gas,45.75224192
